x0000,y0000
2700.,0.99790241
2701.,1.0007004956
2702.,1.0006426118
2703.,1.0006309076
2704.,0.9974368774
2705.,0.9995457837
2706.,0.9995066648
2707.,1.0002755638
2708.,1.0010361676
2709.,0.9987926635
2710.,1.0011396589
2711.,0.9999630316
2712.,1.0005195589
2713.,1.0016394258
2714.,0.9998726686
2715.,0.9995599699
2716.,0.9966386264
2717.,0.9988666472
2718.,1.0009078337
2719.,0.9994209428
2720.,1.0013331069
2721.,1.0018209718
2722.,1.0001855473
2723.,1.0022138655
2724.,0.9993882130
2725.,1.0015093862
2726.,1.0007923498
2727.,1.0012169882
2728.,0.9967762529
2729.,1.0020060483
2730.,0.9995326143
2731.,0.9997353883
2732.,1.0047638305
2733.,1.0003477670
2734.,1.0003992152
2735.,1.0006437064
2736.,0.9992253189
2737.,0.9999133582
2738.,0.9992796901
2739.,0.9980676551
2740.,0.9992055929
2741.,0.9993283808
2742.,1.0003891078
2743.,1.0010023504
2744.,0.9992791458
2745.,0.9983505208
2746.,1.0026046980
2747.,1.0001384416
2748.,1.0007204355
2749.,1.0001256183
2750.,1.0010629352
2751.,0.9978589328
2752.,0.9987019890
2753.,0.9999462768
2754.,0.9994145257
2755.,0.9987043799
2756.,0.9994318633
2757.,0.9988085639
2758.,0.9979259213
2759.,0.9986392137
2760.,0.9996002023
2761.,1.0000048618
2762.,0.9984136917
2763.,0.9983294263
2764.,0.9985050904
2765.,0.9993405286
2766.,0.9992443232
2767.,0.9989086422
2768.,0.9998403004
2769.,0.9991872362
2770.,0.998208684
2771.,0.9998875852
2772.,1.0008667414
2773.,1.0018978644
2774.,0.9996801319
2775.,1.0009778078
2776.,0.9997472662
2777.,0.9998846399
2778.,1.0008852038
2779.,0.9992464611
2780.,1.0007543556
2781.,1.0013200112
2782.,0.9995886055
2783.,1.0004604192
2784.,0.9972705493
2785.,0.998043845
2786.,0.9986968230
2787.,0.9980379146
2788.,0.9994516792
2789.,0.9954554238
2790.,0.9973164425
2791.,0.9965479047
2792.,0.9991909569
2793.,0.9987796753
2794.,1.0007091106
2795.,0.9961577917
2796.,0.9977349193
2797.,0.9995545977
2798.,0.9983047511
2799.,0.9969000136
2800.,0.9995277530
2801.,1.0002033755
2802.,0.9972684273
2803.,0.9979974403
2804.,0.9983118899
2805.,0.9979977389
2806.,0.9966874293
2807.,0.9971647593
2808.,0.9977263948
2809.,0.9978982845
2810.,0.9973444499
2811.,0.9981172386
2812.,0.9996403669
2813.,0.9981372703
2814.,0.9978144792
2815.,0.9980606256
2816.,0.9972987312
2817.,0.9961783773
2818.,0.9953363576
2819.,0.9970195001
2820.,0.9960997564
2821.,0.9953235767
2822.,0.996743959
2823.,0.9956364126
2824.,0.9959200891
2825.,0.9941591185
2826.,0.9948209485
2827.,0.9961111828
2828.,0.9943819597
2829.,0.9943845906
2830.,0.9909588749
2831.,0.9920129046
2832.,0.988659667
2833.,0.9873197529
2834.,0.9880584666
2835.,0.9872352413
2836.,0.9837273613
2837.,0.9793811955
2838.,0.9772051536
2839.,0.9742780563
2840.,0.9698156077
2841.,0.9655499812
2842.,0.9615669766
2843.,0.9604568339
2844.,0.9568560227
2845.,0.9523176598
2846.,0.953291629
2847.,0.9544773973
2848.,0.9537854762
2849.,0.9568210935
2850.,0.9557515235
2851.,0.9552105106
2852.,0.9573783583
2853.,0.9591940608
2854.,0.9567321039
2855.,0.9548422969
2856.,0.9522747036
2857.,0.9539414008
2858.,0.9591401152
2859.,0.9600669152
2860.,0.9646938995
2861.,0.9670296406
2862.,0.9715875141
2863.,0.9773118538
2864.,0.9810943087
2865.,0.9838381495
2866.,0.9850394390
2867.,0.9862458533
2868.,0.9854988478
2869.,0.987185734
2870.,0.9864889249
2871.,0.9876671072
2872.,0.9885000325
2873.,0.9887084388
2874.,0.9872226587
2875.,0.9844998600
2876.,0.9804125641
2877.,0.9821316826
2878.,0.9758032743
2879.,0.9734318378
2880.,0.9678431597
2881.,0.9645099062
2882.,0.9597894919
2883.,0.9591173403
2884.,0.9587806180
2885.,0.9597379304
2886.,0.9612808734
2887.,0.9605105281
2888.,0.9628289326
2889.,0.963997547
2890.,0.9644225717
2891.,0.9629578538
2892.,0.9628250256
2893.,0.9607643978
2894.,0.9571717316
2895.,0.9564948818
2896.,0.9587707285
2897.,0.9625317540
2898.,0.9635177131
2899.,0.9700361401
2900.,0.9741611074
2901.,0.9777145240
2902.,0.9811505306
2903.,0.9869062108
2904.,0.9860446588
2905.,0.9900141380
2906.,0.9908448933
2907.,0.9939393039
2908.,0.9937812557
2909.,0.9932507579
2910.,0.9951441782
2911.,0.9933344267
2912.,0.9946042959
2913.,0.9949997735
2914.,0.9972040021
2915.,0.9973104102
2916.,0.9973728871
2917.,0.9962369993
2918.,0.9966695419
2919.,0.9970233981
2920.,0.9979650394
2921.,0.9982454218
2922.,0.9973933016
2923.,0.9977309144
2924.,0.9975937076
2925.,0.9979272520
2926.,0.9989568151
2927.,0.9979371701
2928.,0.9980722742
2929.,0.9997305617
2930.,0.9980980170
2931.,0.9989251084
2932.,1.0006214728
2933.,0.9994917544
2934.,0.9981091237
2935.,0.9981362410
2936.,1.0011704069
2937.,0.9970564809
2938.,0.9996857594
2939.,0.9994041942
2940.,0.9983707027
2941.,1.0005298576
2942.,0.9977998899
2943.,1.0000914972
2944.,0.9980856852
2945.,0.9994241062
2946.,0.9972380217
2947.,0.9992897990
2948.,0.9969535422
2949.,0.9978490854
2950.,0.9986232978
2951.,0.9994477629
2952.,1.0003198987
2953.,1.0011638335
2954.,0.9982773893
2955.,1.0000878192
2956.,0.9991647226
2957.,0.9982638337
2958.,0.9967808846
2959.,0.9982339226
2960.,0.9990004662
2961.,0.9993869471
2962.,0.9989175532
2963.,0.9976854829
2964.,0.9978568789
2965.,0.9976080903
2966.,1.0001478185
2967.,0.9999117381
2968.,0.9953309333
2969.,0.9951149054
2970.,0.9997556071
2971.,0.9989805919
2972.,0.9986639735
2973.,0.9990640625
2974.,1.0000222559
2975.,1.0006033526
2976.,1.0001772441
2977.,0.9977379743
2978.,0.9993980327
2979.,0.9982136304
2980.,0.9985452603
2981.,0.9994249416
2982.,1.0004294630
2983.,0.9999309295
2984.,0.9995080766
2985.,0.9981242014
2986.,0.9989112819
2987.,0.9994580883
2988.,1.00165938
2989.,1.0003507329
2990.,0.9985460927
2991.,1.0001505412
2992.,1.0008010738
2993.,1.0002123867
2994.,0.9982729327
2995.,0.9986245437
2996.,1.0013370178
2997.,1.0004114077
2998.,0.9990429315
2999.,1.0025867769
3000.,1.0006429474
